,Total no.,Doc no.,Dept.,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,
,94,6,Computer Engineering,Saliba D.; Imad R.; Houcke S.,"Saliba, Danielle (57201730669); Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700)",57201730669; 26767816900; 35616673700,Wifi channel selection based on load criteria,2017,"International Symposium on Wireless Personal Multimedia Communications, WPMC",2017-December,,,332,336,4,6,10.1109/WPMC.2017.8301833,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045896178&doi=10.1109%2fWPMC.2017.8301833&partnerID=40&md5=c32ea53c9f395a11d94e346f84bdb639,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85045896178,
,95,7,Computer Engineering,Saliba D.; Imad R.; Houcke S.; Hassan B.E.,"Saliba, Danielle (57201730669); Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700); Hassan, Bachar El (26641676700)",57201730669; 26767816900; 35616673700; 26641676700,WiFi dimensioning to offload LTE in 5G networks,2019,"2019 IEEE 9th Annual Computing and Communication Workshop and Conference, CCWC 2019",,,8666585,521,526,5,15,10.1109/CCWC.2019.8666585,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063868551&doi=10.1109%2fCCWC.2019.8666585&partnerID=40&md5=7df37d943e77895640f3b27823e44e8f,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85063868551,
,96,8,Computer Engineering,Imad R.; Houcke S.; Ghogho M.,"Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700); Ghogho, Mounir (7004165717)",26767816900; 35616673700; 7004165717,Blind estimation of the phase and carrier frequency offsets for LDPC-coded systems,2010,Eurasip Journal on Advances in Signal Processing,2010,,293572,,,,7,10.1155/2010/293572,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952142057&doi=10.1155%2f2010%2f293572&partnerID=40&md5=5110a8c69273b86fae20ebb444dc3203,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-79952142057,
,97,9,Computer Engineering,Imad R.; Houcke S.; Jego C.,"Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700); Jego, Christophe (6701501959)",26767816900; 35616673700; 6701501959,Blind frame synchronization of product codes based on the adaptation of the parity check matrix,2009,IEEE International Conference on Communications,,,5198792,,,,8,10.1109/ICC.2009.5198792,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449499795&doi=10.1109%2fICC.2009.5198792&partnerID=40&md5=a84bf19aef414c803ebabdf033065269,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-70449499795,
,98,10,Computer Engineering,Rishmany J.; Imad R.,"Rishmany, Jihad (56426992700); Imad, Rodrigue (26767816900)",56426992700; 26767816900,Finite Element and Multibody Dynamics Analysis of a Ball Mill Glass Crusher,2023,Modelling and Simulation in Engineering,2023,,1905702,,,,3,10.1155/2023/1905702,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151539432&doi=10.1155%2f2023%2f1905702&partnerID=40&md5=ba2396dd2b97f3f4b318a63d1c5e020c,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85151539432,
,99,11,Computer Engineering,Imad R.; Houcke S.,"Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700)",26767816900; 35616673700,On Blind Frame Synchronization of LDPC Codes,2021,IEEE Communications Letters,25,10,,3190,3194,4,8,10.1109/LCOMM.2021.3102662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112166170&doi=10.1109%2fLCOMM.2021.3102662&partnerID=40&md5=0ba81521bebb0d11b8171869047e46a6,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85112166170,
,100,12,Computer Engineering,Imad R.; Houcke S.; Ghogho M.,"Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700); Ghogho, Mounir (7004165717)",26767816900; 35616673700; 7004165717,Effective techniques for blind phase offset estimation in LDPC coded systems,2009,"IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC",,,5161863,638,642,4,2,10.1109/SPAWC.2009.5161863,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449591895&doi=10.1109%2fSPAWC.2009.5161863&partnerID=40&md5=adafd7907dd85d222f7fdb5c5a944530,Conference paper,Final,,Scopus,2-s2.0-70449591895,
,101,13,Computer Engineering,Dergham I.; Rocha J.-C.M.; Imad R.; Alayli Y.,"Dergham, Ibrahim (57205289152); Rocha, Juan-Carlos Martinez (57220189886); Imad, Rodrigue (26767816900); Alayli, Yasser (6701861433)",57205289152; 57220189886; 26767816900; 6701861433,Effect of wireless charging of mobility scooters on human health and temperature increase of their chassis,2020,"Proceedings of the 2020 International Symposium on Electromagnetic Compatibility - EMC EUROPE, EMC EUROPE 2020",,,9245797,,,,3,10.1109/EMCEUROPE48519.2020.9245797,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097190059&doi=10.1109%2fEMCEUROPE48519.2020.9245797&partnerID=40&md5=986583b7c354a8beb76bf8f9e0ff6d21,Conference paper,Final,,Scopus,2-s2.0-85097190059,
,102,14,Computer Engineering,Rishmany J.; Lahoud C.; Harmouche J.; Imad R.; Saba N.,"Rishmany, Jihad (56426992700); Lahoud, Chawki (6507883511); Harmouche, Jamal (59907527700); Imad, Rodrigue (26767816900); Saba, Nicolas (36706524000)",56426992700; 6507883511; 59907527700; 26767816900; 36706524000,Advancements in Solar Tracking: A Comprehensive Review of Image-Processing Techniques,2026,Sustainability (Switzerland),18,2,1117,,,,1,10.3390/su18021117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028917157&doi=10.3390%2fsu18021117&partnerID=40&md5=9a401465239ec48106c00c1db91828d0,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105028917157,
,103,15,Computer Engineering,Tajan R.; Poulliat C.; Imad R.; Fijalkow I.,"Tajan, Romain (49061486300); Poulliat, Charly (6506189480); Imad, Rodrigue (26767816900); Fijalkow, Inbar (7003532225)",49061486300; 6506189480; 26767816900; 7003532225,A new trellis representation for source-channel rate allocation,2011,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",,,5946690,3152,3155,3,0,10.1109/ICASSP.2011.5946690,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051656804&doi=10.1109%2fICASSP.2011.5946690&partnerID=40&md5=e8d58ebfcb3a685d93fd6669f307ecca,Conference paper,Final,,Scopus,2-s2.0-80051656804,
,104,16,Computer Engineering,Imad R.; Houcke S.,"Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700)",26767816900; 35616673700,Blind frame synchronization and phase offset estimation for coded systems,2008,"IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC",,,4641560,11,15,4,6,10.1109/SPAWC.2008.4641560,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649998773&doi=10.1109%2fSPAWC.2008.4641560&partnerID=40&md5=eea233077ee0a9c8916d8e7e440ffd4c,Conference paper,Final,,Scopus,2-s2.0-67649998773,
,105,17,Computer Engineering,Imad R.; Houcke S.,"Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700)",26767816900; 35616673700,Theoretical analysis of a MAP based blind frame synchronizer,2009,IEEE Transactions on Wireless Communications,8,11,5336773,5472,5476,4,26,10.1109/TWC.2009.090410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70749135766&doi=10.1109%2fTWC.2009.090410&partnerID=40&md5=2a42375b466038cc60838919e47f508b,Article,Final,,Scopus,2-s2.0-70749135766,
,106,18,Computer Engineering,Al Asmar J.; Kesserwani J.; Harmouche J.; Imad R.; Lahoud C.,"Al Asmar, Joseph (56470661800); Kesserwani, Joseph (59707350500); Harmouche, Jamal (59907527700); Imad, Rodrigue (26767816900); Lahoud, Chawki (6507883511)",56470661800; 59707350500; 59907527700; 26767816900; 6507883511,Towards a sustainable energy future: a comparative analysis of environmental and economic impacts of energy sources,2025,Management of Environmental Quality,,,,,,,0,10.1108/MEQ-01-2025-0031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005806257&doi=10.1108%2fMEQ-01-2025-0031&partnerID=40&md5=ad7f6e49c92e2a9df1d0ba9f18abe4e2,Article,Article in press,,Scopus,2-s2.0-105005806257,
,107,19,Computer Engineering,Imad R.; Sicot G.; Houcke S.,"Imad, Rodrigue (26767816900); Sicot, Guillaume (17435760100); Houcke, Sebastien (35616673700)",26767816900; 17435760100; 35616673700,Blind frame synchronization for error correcting codes having a sparse parity check matrix,2009,IEEE Transactions on Communications,57,6,,1574,1577,3,52,10.1109/TCOMM.2009.06.070445,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650690584&doi=10.1109%2fTCOMM.2009.06.070445&partnerID=40&md5=b3d4f2476006e1bc2d8f646bf6d126cf,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-67650690584,
,108,20,Computer Engineering,Dergham I.; Alayli Y.; Imad R.; Hamam Y.,"Dergham, Ibrahim (57205289152); Alayli, Yasser (6701861433); Imad, Rodrigue (26767816900); Hamam, Yskandar (7004325075)",57205289152; 6701861433; 26767816900; 7004325075,Effects of a wireless charging system built for an electric kick scooter on human biological tissue,2020,International Journal of Environmental Research and Public Health,17,8,2662,,,,0,10.3390/ijerph17082662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083409772&doi=10.3390%2fijerph17082662&partnerID=40&md5=0c63d57f71b73ad761f5f1a940b7714b,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85083409772,
,109,21,Computer Engineering,Imad R.; Houcke S.; Douillard C.,"Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700); Douillard, Catherine (6603247284)",26767816900; 35616673700; 6603247284,Blind frame synchronization on Gaussian channel,2007,European Signal Processing Conference,,,,555,559,4,8,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863745688&partnerID=40&md5=97357db7a99457f6bca2febc433adba2,Conference paper,Final,,Scopus,2-s2.0-84863745688,
,110,22,Computer Engineering,Imad R.; Poulliat C.; Houcke S.; Gadat B.,"Imad, Rodrigue (26767816900); Poulliat, Charly (6506189480); Houcke, Sebastien (35616673700); Gadat, Benjamin (35809979200)",26767816900; 6506189480; 35616673700; 35809979200,Blind frame synchronization of Reed-Solomon codes: Non-binary vs. binary approach,2010,"IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC",,,5670870,,,,9,10.1109/SPAWC.2010.5670870,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751545424&doi=10.1109%2fSPAWC.2010.5670870&partnerID=40&md5=db610c2f2fbe126d91647a8030434b51,Conference paper,Final,,Scopus,2-s2.0-78751545424,
E. Inaty,111,1,Computer Engineering,Raad R.; Inaty E.; Fortier P.; Shalaby H.M.H.,"Raad, Robert (16022977800); Inaty, Elie (35581329200); Fortier, Paul (35579080000); Shalaby, Hossam M. H. (7005248344)",16022977800; 35581329200; 35579080000; 7005248344,Optical S-ALOHA/CDMA system for multirate applications: System architecture and performance evaluation,2005,GLOBECOM - IEEE Global Telecommunications Conference,4,,1578004,1936,1941,5,2,10.1109/GLOCOM.2005.1578004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846581925&doi=10.1109%2fGLOCOM.2005.1578004&partnerID=40&md5=f60305a236960943548b866bc376e683,Conference paper,Final,,Scopus,2-s2.0-33846581925,
,112,2,Computer Engineering,Inaty E.; Shalaby H.M.H.; Fortier P.,"Inaty, Elie (35581329200); Shalaby, Hossam M.H. (7005248344); Fortier, Paul (35579080000)",35581329200; 7005248344; 35579080000,On the cutoff rate of a variable-bit-rate (VBR) OFFH-CDMA system,2002,IEEE International Conference on Communications,5,,,2927,2932,5,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036282527&partnerID=40&md5=c84e8afb9b3e75e1ec8be854b35e792d,Conference paper,Final,,Scopus,2-s2.0-0036282527,
,113,3,Computer Engineering,Inaty E.; Raad R.,"Inaty, Elie (35581329200); Raad, Robert (16022977800)",35581329200; 16022977800,CDMA-based dynamic power and bandwidth allocation (DPBA) scheme for multiclass EPON: A weighted fair queuing approach,2018,Journal of Optical Communications and Networking,10,2,,52,64,12,10,10.1364/JOCN.10.000052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042668386&doi=10.1364%2fJOCN.10.000052&partnerID=40&md5=e749a3a689f5a517ce8cec9501217a9e,Article,Final,,Scopus,2-s2.0-85042668386,
,114,4,Computer Engineering,Inaty E.; Raad R.,"Inaty, Elie (35581329200); Raad, Robert (16022977800)",35581329200; 16022977800,A CDMA-based dynamic power and bandwidth allocation (DPBA) scheme for multiclass EPON,2017,"2017 27th International Telecommunication Networks and Applications Conference, ITNAC 2017",2017-January,,,1,8,7,0,10.1109/ATNAC.2017.8215370,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046695655&doi=10.1109%2fATNAC.2017.8215370&partnerID=40&md5=18b0dc2927df59c7670ce2a364008cce,Conference paper,Final,,Scopus,2-s2.0-85046695655,
,115,5,Computer Engineering,Inaty E.; Shalaby H.M.H.; Fortier P.,"Inaty, Elie (35581329200); Shalaby, Hossam M.H. (7005248344); Fortier, Paul (35579080000)",35581329200; 7005248344; 35579080000,A new transmitter-receiver architecture for noncoherent multirate OFFH-CDMA system with fixed optimal detection threshold,2001,Conference Record / IEEE Global Telecommunications Conference,3,,,1487,1493,6,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035681216&partnerID=40&md5=9f5f18879b9f184472648a2fa6aad8cd,Conference paper,Final,,Scopus,2-s2.0-0035681216,
,116,6,Computer Engineering,Raad R.; Inaty E.; Maier M.,"Raad, Robert (16022977800); Inaty, Elie (35581329200); Maier, Martin (35485001300)",16022977800; 35581329200; 35485001300,Dynamic bandwidth allocation algorithms for improved throughput and latency performance in CDMA-based next-generation ethernet passive optical networks,2019,OSA Continuum,2,11,,3107,3126,19,9,10.1364/OSAC.2.003107,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090126613&doi=10.1364%2fOSAC.2.003107&partnerID=40&md5=0baa2957e89e31b4ae491a7b71592694,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85090126613,
,117,7,Computer Engineering,Nachar R.; Inaty E.,"Nachar, Rabih (56266974500); Inaty, Elie (35581329200)",56266974500; 35581329200,An effective segmentation method for iris recognition based on fuzzy logic using visible feature points,2022,Multimedia Tools and Applications,81,7,,9803,9828,25,16,10.1007/s11042-022-12204-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124745716&doi=10.1007%2fs11042-022-12204-8&partnerID=40&md5=3c286c94af177b9283d95a2609dbe5c5,Article,Final,,Scopus,2-s2.0-85124745716,
,118,8,Computer Engineering,Al Nachar R.; Inaty E.; Bonnin P.J.; Alayli Y.,"Al Nachar, Rabih (56266974500); Inaty, Elie (35581329200); Bonnin, Patrick J. (7006630065); Alayli, Yasser (6701861433)",56266974500; 35581329200; 7006630065; 6701861433,Image registration based on edge dominant corners,2014,VISAPP 2014 - Proceedings of the 9th International Conference on Computer Vision Theory and Applications,1,,,433,440,7,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906910760&partnerID=40&md5=0ecd7f068e533e9b6c8a9f5e6f3106de,Conference paper,Final,,Scopus,2-s2.0-84906910760,
,119,9,Computer Engineering,Akkad G.; Inaty E.; Abou Chaaya J.; Maier M.,"Akkad, Ghattas (57194069549); Inaty, Elie (35581329200); Abou Chaaya, Jad (36129266300); Maier, Martin (35485001300)",57194069549; 35581329200; 36129266300; 35485001300,FL-DBA: Fuzzy Logic Based Dynamic Bandwidth Allocation Algorithm for Next Generation Passive Optical Network,2025,Journal of Network and Systems Management,33,2,24,,,,0,10.1007/s10922-025-09898-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217422747&doi=10.1007%2fs10922-025-09898-0&partnerID=40&md5=d61d984adff61b7e917646daad64f650,Article,Final,,Scopus,2-s2.0-85217422747,
,120,10,Computer Engineering,Inaty E.; Raad R.; Fortier P.; Shalaby H.M.H.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Fortier, Paul (35579080000); Shalaby, Hossam M. H. (7005248344)",35581329200; 16022977800; 35579080000; 7005248344,Performance comparison between S-ALOHA and R3T protocols for multirate OFFH-CDMA systems in optical packet networks,2006,Journal of Optical Networking,5,12,,927,936,9,3,10.1364/JON.5.000927,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847325219&doi=10.1364%2fJON.5.000927&partnerID=40&md5=d80a665b754fecc95972f127f3c84cef,Article,Final,,Scopus,2-s2.0-33847325219,
,121,11,Computer Engineering,Inaty E.; Raad R.; Fortier P.; Maier M.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Fortier, Paul (35579080000); Maier, Martin (35485001300)",35581329200; 16022977800; 35579080000; 35485001300,Code division multiple access enabled dynamic bandwidth allocation (CDBA) scheme for EPON,2012,Journal of Optical Communications and Networking,4,3,6171951,271,281,10,12,10.1364/JOCN.4.000271,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859173941&doi=10.1364%2fJOCN.4.000271&partnerID=40&md5=892d7562c7b99ed77ccc66e217480ae8,Article,Final,,Scopus,2-s2.0-84859173941,
,122,12,Computer Engineering,Akkad G.; Mansour A.; Inaty E.,"Akkad, Ghattas (57194069549); Mansour, Ali (7202587376); Inaty, Elie (35581329200)",57194069549; 7202587376; 35581329200,Embedded Deep Learning Accelerators: A Survey on Recent Advances,2024,IEEE Transactions on Artificial Intelligence,5,5,10239336,1954,1972,18,23,10.1109/TAI.2023.3311776,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171589455&doi=10.1109%2fTAI.2023.3311776&partnerID=40&md5=fd841cb01861cae0c2ea3cfa13ae8978,Article,Final,,Scopus,2-s2.0-85171589455,
,123,13,Computer Engineering,Nachar R.; Inaty E.; Bonnin P.J.,"Nachar, Rabih (56266974500); Inaty, Elie (35581329200); Bonnin, Patrick J. (7006630065)",56266974500; 35581329200; 7006630065,A high performance neural network and fuzzy logic based edge corner detector (NF-ECD),2023,Multimedia Tools and Applications,82,25,,39459,39480,21,2,10.1007/s11042-023-15053-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151269587&doi=10.1007%2fs11042-023-15053-1&partnerID=40&md5=079578a68ba57d62881a0c3ddf791ed2,Article,Final,,Scopus,2-s2.0-85151269587,
,124,14,Computer Engineering,Inaty E.; Raad R.; Fortier P.; Shalaby H.M.H.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Fortier, Paul (35579080000); Shalaby, Hossam M. H. (7005248344)",35581329200; 16022977800; 35579080000; 7005248344,MAC protocols for multirate OV-CDMA system in optical packet network: A comparative approach,2007,ICSPC 2007 Proceedings - 2007 IEEE International Conference on Signal Processing and Communications,,,4728516,1103,1106,3,0,10.1109/ICSPC.2007.4728516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60349126640&doi=10.1109%2fICSPC.2007.4728516&partnerID=40&md5=8335fc1496c7bb236dacaecc442e4a99,Conference paper,Final,,Scopus,2-s2.0-60349126640,
,125,15,Computer Engineering,Inaty E.; Akkad G.; Maier M.,"Inaty, Elie (35581329200); Akkad, Ghattas (57194069549); Maier, Martin (35485001300)",35581329200; 57194069549; 35485001300,ANFIS-DBA: ANFIS-Based Dynamic Bandwidth Allocation Scheme for Latency Driven Cost Effective Next Generation PON,2024,IEEE Transactions on Network and Service Management,21,3,,2854,2865,11,3,10.1109/TNSM.2024.3383951,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189623697&doi=10.1109%2fTNSM.2024.3383951&partnerID=40&md5=b994f1bfa5667303ea5ec56ab7bcf3c2,Article,Final,,Scopus,2-s2.0-85189623697,
,126,16,Computer Engineering,Raad R.; Inaty E.,"Raad, Robert (16022977800); Inaty, Elie (35581329200)",16022977800; 35581329200,A MAC protocol based on a S-ALOHA/overlapped cdma system supporting multirate applications,2005,IEEE Vehicular Technology Conference,3,,1558473,2073,2076,3,4,10.1109/VETECF.2005.1558473,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931323296&doi=10.1109%2fVETECF.2005.1558473&partnerID=40&md5=cb1866f1a21b77458c57f2771238c9da,Conference paper,Final,,Scopus,2-s2.0-84931323296,
,127,17,Computer Engineering,Abche A.; Salam A.; Inaty E.; Karam E.,"Abche, Antoine (12790838700); Salam, Alaa (57212598003); Inaty, Elie (35581329200); Karam, Elie (57193540175)",12790838700; 57212598003; 35581329200; 57193540175,Compression techniques for medical images transmission over multi core optical fiber using CDMA,2015,"Proceedings - 8th EUROSIM Congress on Modelling and Simulation, EUROSIM 2013",,,7004973,384,389,5,0,10.1109/EUROSIM.2013.73,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929590836&doi=10.1109%2fEUROSIM.2013.73&partnerID=40&md5=0aa13ebf2ba98612cee2ed82917adc72,Conference paper,Final,,Scopus,2-s2.0-84929590836,
,128,18,Computer Engineering,Nachar R.; Inaty E.; Bonnin P.J.; Alayli Y.,"Nachar, Rabih (56266974500); Inaty, Elie (35581329200); Bonnin, Patrick J. (7006630065); Alayli, Yasser (6701861433)",56266974500; 35581329200; 7006630065; 6701861433,Hybrid minutiae and edge corners feature points for increased fingerprint recognition performance,2020,Pattern Analysis and Applications,23,1,,213,224,11,8,10.1007/s10044-018-00766-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060150595&doi=10.1007%2fs10044-018-00766-z&partnerID=40&md5=b95a3dc65b360df43b7fc2721f01021a,Article,Final,,Scopus,2-s2.0-85060150595,
,129,19,Computer Engineering,Al Nachar R.; Inaty E.; Bonnin P.J.; Alayli Y.,"Al Nachar, Rabih (56266974500); Inaty, Elie (35581329200); Bonnin, Patrick J. (7006630065); Alayli, Yasser (6701861433)",56266974500; 35581329200; 7006630065; 6701861433,A robust edge based corner detector,2014,Proceedings of the Mediterranean Electrotechnical Conference - MELECON,,,6820539,242,246,4,3,10.1109/MELCON.2014.6820539,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904156568&doi=10.1109%2fMELCON.2014.6820539&partnerID=40&md5=a5b4ac8bf438866b79de87555f7ace74,Conference paper,Final,,Scopus,2-s2.0-84904156568,
,130,20,Computer Engineering,Inaty E.; Shalaby H.M.H.; Fortier P.,"Inaty, Elie (35581329200); Shalaby, Hossam M. H. (7005248344); Fortier, Paul (35579080000)",35581329200; 7005248344; 35579080000,On the cutoff rates of a multiclass OFFH-CDMA system,2005,IEEE Transactions on Communications,53,2,,323,334,11,25,10.1109/TCOMM.2004.841999,https://www.scopus.com/inward/record.uri?eid=2-s2.0-15544380172&doi=10.1109%2fTCOMM.2004.841999&partnerID=40&md5=54a29cdedff75628d14036fa91cc6fc2,Article,Final,,Scopus,2-s2.0-15544380172,
,131,21,Computer Engineering,Akkad G.; Mansour A.; ElHassan B.; Inaty E.; Ayoubi R.,"Akkad, Ghattas (57194069549); Mansour, Ali (7202587376); ElHassan, Bachar (6603225120); Inaty, Elie (35581329200); Ayoubi, Rafic (6505834540)",57194069549; 7202587376; 6603225120; 35581329200; 6505834540,A Self Referencing Technique for the RC-pLMS Adaptive Beamformer and Its Hardware Implementation,2022,Lecture Notes in Electrical Engineering,866 LNEE,,,76,85,9,0,10.1007/978-3-030-95498-7_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128706945&doi=10.1007%2f978-3-030-95498-7_11&partnerID=40&md5=6fd104cf70a8ae7c57ef197553002640,Conference paper,Final,,Scopus,2-s2.0-85128706945,
,132,22,Computer Engineering,Inaty E.; Raad R.; Fortier P.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Fortier, Paul (35579080000)",35581329200; 16022977800; 35579080000,Optical hard limiter impact on the performance analysis of an optical OV-CDMA system,2011,EUROCON 2011 - International Conference on Computer as a Tool - Joint with Conftele 2011,,,5929211,,,,0,10.1109/EUROCON.2011.5929211,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960620669&doi=10.1109%2fEUROCON.2011.5929211&partnerID=40&md5=c7bd08602b734ab7e36721efda141c5a,Conference paper,Final,,Scopus,2-s2.0-79960620669,
,133,23,Computer Engineering,Raad R.; Inaty E.; Fortier P.; Shalaby H.M.H.,"Raad, Robert (16022977800); Inaty, Eue (35581329200); Fortier, Paul (35579080000); Shalaby, Hossam M. H. (7005248344)",16022977800; 35581329200; 35579080000; 7005248344,Hybrid power/overlap allocation scheme for a multirate overlapped optical CDMA system,2007,IEEE International Conference on Communications,,,4289027,2115,2121,6,0,10.1109/ICC.2007.356,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549122553&doi=10.1109%2fICC.2007.356&partnerID=40&md5=7083d07c44d673053635170808ca9659,Conference paper,Final,,Scopus,2-s2.0-38549122553,
,134,24,Computer Engineering,Inaty E.; Raad R.; Fortier P.; Shalaby H.M.H.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Fortier, Paul (35579080000); Shalaby, Hossam M. H. (7005248344)",35581329200; 16022977800; 35579080000; 7005248344,Above the nominal limit performance evaluation of multiwavelength optical code-division multiple-access systems,2009,Optical Engineering,48,3,35003,,,,2,10.1117/1.3099613,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960637544&doi=10.1117%2f1.3099613&partnerID=40&md5=eb26d60451769d4db3bdecd4d2e5138c,Article,Final,,Scopus,2-s2.0-79960637544,
,135,25,Computer Engineering,Raad R.; Inaty E.; Fortier P.; Shalaby H.M.H.,"Raad, Robert (16022977800); Inaty, Elie (35581329200); Fortier, Paul (35579080000); Shalaby, Hossam M. H. (7005248344)",16022977800; 35581329200; 35579080000; 7005248344,Time-slotted optical OV-CDMA network using a fair QoS-based resource management algorithm,2008,GLOBECOM - IEEE Global Telecommunications Conference,,,4698271,2583,2588,5,0,10.1109/GLOCOM.2008.ECP.496,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67249112187&doi=10.1109%2fGLOCOM.2008.ECP.496&partnerID=40&md5=fcf6638315f3916e73d58be61b7b109d,Conference paper,Final,,Scopus,2-s2.0-67249112187,
,136,26,Computer Engineering,Inaty E.; Ayoubi R.,"Inaty, Elie (35581329200); Ayoubi, Rafic (6505834540)",35581329200; 6505834540,OV-CDMA system: Concept and implementation,2008,Eurasip Journal on Wireless Communications and Networking,2008,,460628,,,,0,10.1155/2008/460628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-43949135775&doi=10.1155%2f2008%2f460628&partnerID=40&md5=77fd59e39dfc5a55f5362a62274db57e,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-43949135775,
,137,27,Computer Engineering,Inaty E.,"Inaty, Elie (35581329200)",35581329200,Throughput and delay analysis of a S-ALOHA/OV-DS-CDMA MAC protocol over the IEEE 802.15.3 WPAN,2007,World Wireless Congress,,,,295,299,4,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547908541&partnerID=40&md5=2837ca42f0e42f3fc006c54612f64bf7,Conference paper,Final,,Scopus,2-s2.0-34547908541,
,138,28,Computer Engineering,Inaty E.; Ayoubi R.,"Inaty, Elie (35581329200); Ayoubi, Rafic (6505834540)",35581329200; 6505834540,FPGA-based transmitter-receiver architecture of an overlapped FFH-CDMA system: Design and simulation,2006,Proceedings - IEEE International Symposium on Circuits and Systems,,,1693205,2797,2800,3,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547281931&partnerID=40&md5=6f8ac3d1fa7c703da21ba66abf1d8ece,Conference paper,Final,,Scopus,2-s2.0-34547281931,
